Token,POS
finansi‰le,ASA
bystand,NA
ontvang,VTHOG
.,ZE
,
Ons,PEMP
het,VUOT
ook,BS
ambisieuse,ASA
doelwitte,NSM
gestel,VVHOG
vir,SVS
vaardigheidsontwikkeling,NA
om,SVS
addisionele,ASA
ingenieurs,NSM
en,KN
tegnici,NSM
te,UPI
kweek,VTHOG
en,KN
om,SVS
die,LB
aantal,NSE
gekwalifiseerde,ASA
Wiskunde-,RWD
en,KN
Wetenskaponderwysers,NSM
te,UPI
vermeerder,VTHOG
.,ZE
,
Ons,PEMP
moet,VTUOM
verseker,VTHOG
dat,KO
meer,THAO
jongmense,NSM
leerderskappe,NSM
in,SVS
die,LB
privaat-,RWD
en,KN
openbare,ASA
sektor,NSE
betree,VTHOG
.,ZE
,
Nog,BS
'n,LO
sleuteluitkoms,NSE
is,VTHOK
om,SVS
'n,LO
lang,ASA
en,KN
gesonde,ASA
lewe,NSE
vir,SVS
alle,THAO
Suid-Afrikaners,NSM
te,UPI
verseker,VTHOG
.,ZE
,
Ons,PEMP
sal,VTUOM
voortgaan,VTHSO
om,SVS
ons,PEMB
gesondheidsorgstelsel,NSE
te,UPI
verbeter,VTHOG
.,ZE
,
Dit,PDOENP
sluit,VTHOG
in,UPW
die,LB
bou,NA
en,KN
opgradering,NA
van,SVS
hospitale,NSM
en,KN
klinieke,NSM
en,KN
die,LB
verdere,ASA
verbetering,NSE
van,SVS
die,LB
werksomstandighede,NSM
van,SVS
gesondheidswerkers,NSM
.,ZE
,
Ons,PEMP
het,VUOT
'n,LO
vennootskap,NSE
met,SVS
die,LB
Ontwikkelingsbank,NSE
van,SVS
Suider-Afrika,NEE
(,ZPL
DBSA,RL
),ZPR
gesluit,VVHOG
om,SVS
die,LB
funksionaliteit,NA
van,SVS
openbare,ASA
hospitale,NSM
en,KN
hul,PDMB
distrikskantore,NSM
te,UPI
verbeter,VTHOG
.,ZE
,
Ons,PEMP
werk,VTHOO
ook,BS
saam,UPW
met,SVS
die,LB
DBSA,RL
en,KN
die,LB
Nywerheidsontwikkelingskorporasie,NSE
in,SVS
'n,LO
publiek-private,ASA
vennootskapsprogramme,NSM
om,SVS
hospitale,NSM
te,UPI
verbeter,VTHOG
en,KN
finansiering,NA
vir,SVS
projekte,NSM
te,UPI
verskaf,VTHOG
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
,
Ons,PEMP
moet,VTUOM
die,LB
feit,NSE
in,SVS
die,LB
gesig,NSE
staar,VTHOG
dat,KO
lewensverwagting,NSE
by,SVS
geboorte,NSE
van,SVS
60,RS
jaar,NSE
in,SVS
1994,RS
",",ZM
tot,SVS
net,BS
onder,SVS
50,RS
jaar,NSE
vandag,BS
",",ZM
gedaal,VVHOO
het,VUOT
.,ZE
,
Ons,PEMP
doen,VTHOG
dus,BS
stappe,NSM
om,SVS
sterftesyfers,NSM
onder,SVS
moeders,NSM
te,UPI
verlaag,VTHOG
",",ZM
om,SVS
nuwe,ASA
MIV-infeksies,NSM
te,UPI
verminder,VTHOG
en,KN
om,SVS
MIV,RL
en,KN
tuberkulose,NA
effektief,BS
te,UPI
behandel,VTHOG
.,ZE
,
Ons,PEMP
sal,VTUOM
ook,BS
babasterftesyfers,NSM
deur,SVS
'n,LO
massiewe,ASA
immuniseringsprogram,NSE
verlaag,VTHOG
.,ZE
,
Ons,PEMP
sal,VTUOM
gesondheidsprogramme,NSM
in,SVS
skole,NSM
herinstel,VTHOG
.,ZE
,
Ons,PEMP
sal,VTUOM
al,THAO
die,LB
ondernemings,NSM
wat,PB
op,SVS
Wˆreldvigsdag,NSE
met,SVS
betrekking,NA
tot,SVS
die,LB
voorkoming,NA
van,SVS
nuwe,ASA
MIV-infeksies,NSM
en,KN
die,LB
behandeling,NA
daarvan,PB
gemaak,VVHOG
is,VVUOP
",",ZM
implementeer,VTHOG
.,ZE
,
Intensiewe,ASA
stappe,NSM
word,VTUOP
geneem,VVHOG
om,SVS
te,UPI
verseker,VTHOG
dat,KO
hierdie,PA
werk,NA
op,SVS
skedule,NSE
bly,VTHOO
.,ZE
,
Ons,PEMP
sal,VTUOM
ook,BS
voortgaan,VTHSO
met,SVS
ons,PEMB
voorbereidings,NSM
vir,SVS
die,LB
instelling,NA
van,SVS
'n,LO
nasionale,ASA
gesondheidsorgversekeringstelsel,NSE
.,ZE
,
Mede-Suid-Afrikaners,NSM
",",ZM
,
Ons,PEMP
werk,VTHOO
hard,BS
om,SVS
te,UPI
verseker,VTHOG
dat,KO
almal,PO
in,SVS
Suid-Afrika,NEE
veilig,ASP
voel,VTHOK
en,KN
veilig,ASP
is,VTHOK
.,ZE
,
Ons,PEMP
sal,VTUOM
ons,PEMB
werk,NA
uitbrei,VTHSG
om,SVS
ernstige,ASA
en,KN
geweldsmisdade,NSM
te,UPI
verminder,VTHOG
en,KN
te,UPI
verseker,VTHOG
dat,KO
die,LB
regstelsel,NSE
doeltreffend,BS
funksioneer,VTHOO
.,ZE
,
Ons,PEMP
implementeer,VTHOG
planne,NSM
om,SVS
die,LB
aantal,NSE
polisiemanne,NSM
en,KN
-vroue,RWD
oor,SVS
die,LB
volgende,ASA
10,RS
jaar,NSE
met,SVS
10%,RS
te,UPI
vermeerder,VTHOG
.,ZE
,
Ons,PEMP
het,VUOT
die,LB
stryd,NA
teen,SVS
kapings,NSM
",",ZM
besigheids-,RWD
en,KN
huisrooftogte,NSM
asook,KN
kontakmisdade,NSM
soos,UPV
moord,NA
",",ZM
verkragting,NA
en,KN
aanranding,NA
",",ZM
as,KO
ons,PEMB
topprioriteite,NSM
ge‹dentifiseer,VVHOG
.,ZE
,
Ons,PEMP
het,VTHOG
almal,PO
'n,LO
rol,NSE
om,SVS
te,UPI
speel,VTHOG
.,ZE
,
Laat,VTUOA
ons,PEMP
aan,SVS
gemeenskapsveiligheidsforums,NSM
deelneem,VTHSO
.,ZE
,
Kom,VTUOA
ons,PEMP
hou,VTHOG
op,UPW
om,SVS
gesteelde,ASA
goedere,NSM
te,UPI
koop,VTHOG
.,ZE
,
Laat,VTUOA
ons,PEMP
altyd,BS
gereed,ASP
wees,VTHOK
om,SVS
die,LB
polisie,NM
van,SVS
inligting,NM
oor,SVS
misdaadaktiwiteite,NSM
te,UPI
voorsien,VTHOG
.,ZE
,
Deur,SVS
saam,UPW
te,UPI
werk,VTHOO
sal,VTUOM
ons,PEMP
misdaad,NSE
verslaan,VTHOG
.,ZE
,
Landsgenote,NSM
en,KN
agbare,ASA
gaste,NSM
",",ZM
,
Die,LB
plaaslike,ASA
regering,NSE
moet,VTUOM
werk,VTHOO
.,ZE
,
Munisipaliteite,NSM
moet,VTUOM
die,LB
voorsiening,NA
van,SVS
behuising,NA
",",ZM
water,NM
",",ZM
sanitasie,NA
",",ZM
elektrisiteit,NM
",",ZM
afvalbestuur,NA
en,KN
paaie,NSM
verbeter,VTHOG
.,ZE
,
Ons,PEMP
het,VUOT
verlede,ASA
jaar,NSE
met,SVS
burgemeesters,NSM
en,KN
munisipale,ASA
bestuurders,NSM
vergader,VTHOO
.,ZE
,
Dit,PDOENP
het,VUOT
waardevolle,ASA
insig,NSE
in,SVS
die,LB
uitdagings,NSM
op,SVS
die,LB
terrein,NSE
van,SVS
plaaslike,ASA
regering,NSE
gebied,VVHOG
.,ZE
,
Ons,PEMP
het,VUOT
ook,BS
verskeie,ASA
gemeenskappe,NSM
en,KN
munisipaliteite,NSM
besoek,VTHOG
",",ZM
insluitende,SVS
Balfour,NEE
in,SVS
Mpumalanga,NEE
en,KN
Thembisa,NEE
in,SVS
Gauteng,NEE
.,ZE
,
Na,SVS
afloop,NA
van,SVS
die,LB
Balfour-besoek,NSE
het,VUOT
ons,PEMP
'n,LO
ministeri‰le,ASA
span,NSE
",",ZM
bestaande,ASP
uit,SVS
nege,THAB
lede,NSM
",",ZM
gestuur,VVHOG
om,SVS
die,LB
gebied,NSE
te,UPI
besoek,VTHOG
en,KN
aandag,NA
te,UPI
skenk,VTHOG
aan,SVS
die,LB
kwessies,NSM
wat,PB
deur,SVS
die,LB
gemeenskap,NSE
geopper,VVHOG
is,VVUOP
.,ZE
,
'n,LO
Hele,ASA
aantal,NSE
sake,NSM
het,VUOT
reeds,BS
aandag,NA
geniet,VTHOG
.,ZE
,
Ek,PEENP
het,VUOT
die,LB
ministers,NSM
beveel,VTHOG
om,SVS
die,LB
uitstaande,ASA
aangeleenthede,NSM
ook,BS
op,UPW
te,UPI
los,VTHOG
.,ZE
,
Ons,PEMP
wil,VTUOM
herbeklemtoon,VTHOG
dat,KO
geen,THAB
griewe,NSM
ooit,BS
geweld,NA
en,KN
die,LB
vernietiging,NA
van,SVS
eiendom,NSE
kan,VTUOM
regverdig,VTHOG
nie,UPO
.,ZE
,
Ons,PEMP
het,VUOT
wetstoepassingsagentskappe,NSM
beveel,VTHOG
om,SVS
strenger,BV
op,UPW
te,UPI
tree,VTHOO
teen,SVS
wetteloosheid,NA
in,SVS
Balfour,NEE
en,KN
ander,ASA
gebiede,NSM
.,ZE
,
In,SVS
Desember,NEE
2009,RS
het,VUOT
die,LB
Kabinet,NSE
'n,LO
omkeerstrategie,NSE
vir,SVS
die,LB
plaaslike,ASA
regering,NSE
goedgekeur,VVHOG
.,ZE
,
Dit,PDOENP
sal,VTUOM
verseker,VTHOG
dat,KO
die,LB
plaaslike,ASA
regering,NSE
oor,SVS
die,LB
korrekte,ASA
bestuurs-,RWD
",",ZM
administratiewe,ASA
en,KN
tegniese,ASA
vaardighede,NSM
beskik,VTHOO
.,ZE
,
Laat,VTUOA
ons,PEMP
gedurende,SVS
hierdie,PA
jaar,NSE
van,SVS
aksie,NSE
saamwerk,VTHSO
om,SVS
plaaslike,ASA
regering,NSE
almal,PO
se,UPS
besigheid,NSE
te,UPI
maak,VTHOG
.,ZE
,
Ons,PEMP
werk,NA
daaraan,PB
om,SVS
goed,BS
gele‰,ASP
informele,ASA
nedersettings,NSM
op,UPW
te,UPI
gradeer,VTHOG
en,KN
om,SVS
teen,SVS
2014,RS
aan,SVS
minstens,BS
500,RS
000,RS
huishoudings,NSM
behoorlike,ASA
dienste,NSM
en,KN
grondbesit,NA
te,UPI
verskaf,VTHOG
.,ZE
,
Ons,PEMP
beplan,VTHOG
om,SVS
meer,THBO
as,KO
6,RS
000,RS
hektaar,NSE
goed,BS
gele‰,ASP
openbare,ASA
grond,NM
vir,SVS
lae-inkomste,ASA
en,KN
bekostigbare,ASA
behuising,NA
opsy,SVS
te,UPI
sit,VTHOG
.,ZE
,
'n,LO
Nuwe,ASA
sleutelinisiatief,NSE
sal,VTUOM
wees,VTHOK
om,SVS
mense,NSM
te,UPI
akkommodeer,VTHOG
wie,PB
se,UPS
salarisse,NSM
te,UPI
hoog,ASP
is,VTHOK
om,SVS
regeringsubsisies,NSM
te,UPI
ontvang,VTHOG
",",ZM
maar,KN
wat,PB
te,UPG
min,THBO
verdien,VTHOG
om,SVS
vir,SVS
'n,LO
normale,ASA
bankverbandlening,NSE
te,UPI
kwalifiseer,VTHOO
.,ZE
,
Ons,PEMP
sal,VTUOM
'n,LO
waarborgfonds,NSE
van,SVS
R1,RS
biljoen,THPB
opsy,SVS
sit,VTHOG
as,KO
aansporingsmaatre‰l,NSE
om,SVS
die,LB
private,ASA
bank,NSE
en,KN
behuisingsektor,NSE
aan,UPW
te,UPI
moedig,VTHOG
om,SVS
nuwe,ASA
produkte,NSM
te,UPI
ontwikkel,VTHOG
om,SVS
in,SVS
hierdie,PA
vraag,NA
na,SVS
behuising,NA
te,UPI
voorsien,VTHOG
.,ZE
,
Landsgenote,NSM
",",ZM
,
Verlede,ASA
jaar,NSE
het,VUOT
ons,PEMP
gesˆ,VVHOG
dat,KO
mense,NSM
op,SVS
die,LB
platteland,NSE
ook,BS
die,LB
reg,NSE
het,VTHOG
om,SVS
elektrisiteit,NM
",",ZM
water,NM
",",ZM
spoeltoilette,NSM
en,KN
paaie,NSM
te,UPI
hˆ,VTHOG
.,ZE
,
Ons,PEMP
het,VUOT
gesˆ,VVHOG
hulle,PDMP
moet,VTUOM
sportsentrums,NSM
en,KN
beter,AVA
inkopiesentrums,NSM
hˆ,VTHOG
soos,UPV
di‚,PA
in,SVS
die,LB
stede,NSM
.,ZE
,
In,SVS
hierdie,PA
verband,NSE
het,VUOT
ons,PEMP
in,SVS
Augustus,NEE
verlede,ASA
jaar,NSE
die,LB
eerste,TRAB
loodsterrein,NSE
van,SVS
die,LB
Omvattende,ASA
Landelike-ontwikkelingsprogram,NSE
in,SVS
Giyani,NEE
",",ZM
Limpopo,NEE
",",ZM
geloods,VVHOG
.,ZE
,
Sedertdien,BS
is,VVUOP
231,ASA
huise,NSM
gebou,VVHOG
.,ZE
,
Vordering,NA
is,VVUOP
ook,BS
gemaak,VVHOG
met,SVS
die,LB
voorsiening,NA
van,SVS
infrastruktuur,NM
om,SVS
landbou-ontwikkeling,NA
en,KN
opleiding,NA
vir,SVS
gemeenskapsleiers,NSM
te,UPI
ondersteun,VTHOG
.,ZE
,
Toegang,NA
tot,SVS
gesondheids-,RWD
en,KN
onderwysgeriewe,NSM
het,VUOT
verbeter,VTHOO
.,ZE
,
Ons,PEMP
implementeer,VTHOG
tans,BS
soortgelyke,ASA
programme,NSM
in,SVS
sewe,THAB
terreine,NSM
regoor,SVS
die,LB
land,NSE
",",ZM
tot,SVS
voordeel,NSE
van,SVS
21,RS
wyke,NSM
.,ZE
,
Ons,PEMP
beoog,VTHOG
om,SVS
teen,SVS
2014,RS
terreine,NSM
in,SVS
160,RS
wyke,NSM
te,UPI
hˆ,VTHOG
.,ZE
,
Ons,PEMB
mikpunt,NSE
is,VTHOK
dat,KO
60%,RS
van,SVS
huishoudings,NSM
in,SVS
hierdie,PA
terreine,NSM
teen,SVS
2014,RS
uit,SVS
eie,ASA
produksie,NM
in,SVS
hul,PDMB
voedselbehoeftes,NSM
sal,VTUOM
voorsien,VTHOO
.,ZE
,
Tree,NSE
vir,SVS
tree,VTHOO
sal,VTUOM
ons,PEMP
dit,PDOENP
maak,VTHOG
",",ZM
soos,UPV
die,LB
spreekwoord,NSE
lui,VTHOO
",",ZM
landsgenote,NSM
",",ZM
groot,ASA
dinge,NSM
begin,VTHOO
met,SVS
klein,ASA
treetjies,NSMD
.,ZE
,
Ons,PEMP
wil,VTUOM
ook,BS
grondhervornming,NA
en,KN
landbou-ondersteuningsprogramme,NSM
beter,BV
integreer,VTHOG
.,ZE
,
Ons,PEMB
sukses,NA
op,SVS
hierdie,PA
terrein,NSE
sal,VTUOM
gemeet,VVHOG
word,VTUOP
deur,SVS
die,LB
toename,NSE
in,SVS
die,LB
aantal,NSE
kleinskaalse,ASA
boere,NSM
wat,PB
ekonomies,BS
lewensvatbaar,ASP
word,VTHOK
.,ZE
,
Agbare,ASA
Speaker,NSE
en,KN
Voorsitter,NSE
van,SVS
die,LB
NROP,RL
",",ZM
,
Ons,PEMP
is,VTHOK
nie,BS
'n,LO
waterryke,ASA
land,NSE
nie,UPO
.,ZE
,
Maar,KN
steeds,BS
verloor,VTHOG
ons,PEMP
baie,THAO
water,NM
deur,SVS
lekkende,ASA
pype,NSM
en,KN
onvoldoende,ASA
infrastruktuur,NM
.,ZE
,
Ons,PEMP
sal,VTUOM
maatre‰ls,NSM
instel,VTHSG
om,SVS
ons,PEMB
waterverlies,NSE
teen,SVS
2014,RS
met,SVS
die,LB
helfte,NSE
te,UPI
verminder,VTHOG
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
,
As,KO
deel,NSE
van,SVS
ons,PEMB
pogings,NSM
om,SVS
groter,BV
ekonomiese,ASA
groei,NA
aan,UPW
te,UPI
moedig,VTHOG
",",ZM
doen,VTHOG
ons,PEMP
stappe,NSM
om,SVS
die,LB
koste,NSE
verbonde,ASP
aan,SVS
kommunikasie,NA
te,UPI
besnoei,VTHOG
.,ZE
,
Die,LB
Suid-Afrikaanse,ASA
publiek,NM
kan,VTUOM
uitsien,VTHSO
na,SVS
'n,LO
selfs,BS
verdere,ASA
verlaging,NSE
in,SVS
bre‰band-,RWD
",",ZM
selfoon-,RWD
",",ZM
landlyn-,RWD
en,KN
openbaretelefoon-tariewe,NSM
.,ZE
,
Ons,PEMP
sal,VTUOM
stappe,NSM
doen,VTHOG
om,SVS
bre‰bandspoed,NM
te,UPI
verhoog,VTHOG
en,KN
'n,LO
ho‰,ASA
standaard,NSE
van,SVS
internet-dienste,NSM
te,UPI
verseker,VTHOG
wat,PB
in,SVS
ooreenstemming,NA
met,SVS
internasionale,ASA
norme,NSM
is,VTHOK
.,ZE
,
Mede-Suid-Afrikaners,NSM
,
Hierdie,PA
regering,NSE
sal,VTUOM
verseker,VTHOG
dat,KO
ons,PEMB
omgewingsbates,NSM
en,KN
natuurlike,ASA
hulpbronne,NSM
goed,BS
beskerm,VTHOG
en,KN
deurentyd,BS
verbeter,VTHOG
word,VTUOP
.,ZE
,
Saam,BS
met,SVS
Brasili‰,NEE
",",ZM
Indi‰,NEE
en,KN
China,NEE
",",ZM
en,KN
in,SVS
samewerking,NA
met,SVS
die,LB
Verenigde,ASA
State,NSM
",",ZM
wat,PB
die,LB
ontwikkelde,ASA
wˆreld,NSE
verteenwoordig,VTHOG
",",ZM
het,VUOT
ons,PEMP
'n,LO
wesenlike,ASA
bydrae,NSE
gelewer,VVHOG
tot,SVS
die,LB
ooreenkoms,NSE
wat,PB
in,SVS
Desember,NEE
verlede,ASA
jaar,NSE
by,SVS
die,LB
Klimaatberaad,NSE
in,SVS
Kopenhagen,NEE
aanvaar,VTHOG
is,VVUOP
.,ZE
,
Alhoewel,KO
dit,PDOENP
nie,BS
ver,BS
genoeg,BS
gaan,VTHOO
nie,UPO
",",ZM
is,VTHOK
dit,PDOENP
tog,BS
'n,LO
belangrike,ASA
stap,NSE
in,SVS
die,LB
regte,ASA
rigting,NSE
",",ZM
aangesien,KO
dit,PDOENP
alle,THAO
lande,NSM
daartoe,PB
verbind,VTHOG
om,SVS
op,SVS
klimaatsverandering,NA
te,UPI
reageer,VTHOO
.,ZE
,
Ons,PEMP
sal,VTUOM
harder,BV
met,SVS
ons,PEMB
internasionale,ASA
eweknie‰,NSM
moet,VTUOM
saamwerk,VTHSO
om,SVS
'n,LO
wettig,BS
bindende,ASA
verdrag,NSE
te,UPI
beding,VTHOG
.,ZE
,
As,KO
Suid-Afrika,NEE
",",ZM
het,VUOT
ons,PEMP
ons,PEMW
vrywillig,BS
verbind,VTHOG
tot,SVS
spesifieke,ASA
uitlaatgas-verlagingsteikens,NSM
",",ZM
en,KN
ons,PEMP
sal,VTUOM
aanhou,VTHSO
werk,VTHOO
aan,SVS
ons,PEMB
langtermynstrategie,NSE
om,SVS
klimaatsverandering,NA
teen,UPW
te,UPI
werk,VTHOG
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
,
Ons,PEMP
sal,VTUOM
harder,BV
werk,VTHOO
om,SVS
Suid-Afrika,NEE
se,UPS
belange,NSM
wˆreldwyd,BS
te,UPI
bevorder,VTHOG
.,ZE
,
Ons,PEMP
sal,VTUOM
pogings,NSM
ondersteun,VTHOG
om,SVS
die,LB
politieke,ASA
en,KN
ekonomiese,ASA
integrasie,NA
van,SVS
die,LB
Suider-Afrikaanse,ASA
Ontwikkelingsgemeenskap-,RWD
(,ZPL
SAOG,RL
),ZPR
streek,NSE
te,UPI
bespoedig,VTHOG
en,KN
intra-streekhandel,NA
en,KN
beleggings,NSM
te,UPI
bevorder,VTHOG
.,ZE
,
Suid-Afrika,NEE
gaan,VTHOO
voort,UPW
om,SVS
'n,LO
toonaangewende,ASA
rol,NSE
te,UPI
speel,VTHOG
in,SVS
kontinentale,ASA
pogings,NSM
om,SVS
die,LB
Afrika,NEE
Unie,NSE
en,KN
sy,PDHEB
organe,NSE
te,UPI
versterk,VTHOG
en,KN
na,SVS
eenheid,NA
te,UPI
streef,VTHOO
.,ZE
,
Ons,PEMP
sal,VTUOM
ons,PEMB
energie,NM
daarop,PB
toespits,VTHSG
om,SVS
die,LB
Nuwe,ASA
Vennootskap,NSE
vir,SVS
Afrika,NEE
se,UPS
Ontwikkeling,NA
(,ZPL
Nepad,RK
),ZPR
te,UPI
laat,VTUOA
herleef,VTHOG
",",ZM
as,KO
'n,LO
strategie,NSE
vir,SVS
ekonomiese,ASA
ontwikkeling,NA
op,SVS
die,LB
vasteland,NSE
.,ZE
,
Mede-Suid-Afrikaners,NSM
",",ZM
,
Die,LB
Staatsdiens,NSE
moet,VTUOM
reageer,VTHOO
op,SVS
die,LB
beroep,NSE
om,SVS
hierdie,PA
termyn,NSE
deur,SVS
vinniger,AVA
optrede,NSE
en,KN
beter,AVA
prestasie,NSE
deur,SVS
die,LB
staat,NSE
te,UPI
laat,VTUOA
kenmerk,VTHOG
.,ZE
,
Ons,PEMP
vereis,VTHOG
uitnemendheid,NA
en,KN
harde,ASA
werk,NA
.,ZE
,
Ons,PEMP
benodig,VTHOG
staatsamptenare,NSM
wat,PB
toegewyd,ASP
en,KN
bekwaam,ASP
is,VTHOK
en,KN
wat,PB
na,SVS
landsburgers,NSM
se,UPS
behoeftes,NSM
omsien,VTHSO
.,ZE
,
Die,LB
Regering,NSE
werk,VTHOO
reeds,BS
aan,SVS
die,LB
ontwikkeling,NA
en,KN
implementering,NA
van,SVS
'n,LO
staatsdiens-ontwikkelingsprogram,NSE
",",ZM
wat,PB
die,LB
norme,NSM
en,KN
standaarde,NSM
vir,SVS
staatsamptenare,NSM
in,SVS
alle,THAO
sfere,NSM
sal,VTUOM
bepaal,VTHOG
.,ZE
,
Agbare,ASA
Lede,NSM
",",ZM
,
Ons,PEMP
sit,VTHOG
ons,PEMB
pogings,NSM
voort,UPW
om,SVS
korrupsie,NA
en,KN
bedrog,NA
in,SVS
verkrygings-,RWD
en,KN
tenderprosesse,NSM
uit,UPW
te,UPI
wis,VTHOG
",",ZM
asook,KN
in,SVS
aansoeke,NSM
om,SVS
bestuurderslisensies,NSM
",",ZM
maatskaplike,ASA
toelaes,NSM
en,KN
identiteitsdokumente,NSM
",",ZM
om,SVS
net,BS
'n,LO
paar,RO
te,UPI
noem,VTHOG
.,ZE
,
Ons,PEMP
is,VTHOK
tevrede,ASP
met,SVS
die,LB
vordering,NA
van,SVS
die,LB
regering,NSE
op,SVS
sommige,THAO
terreine,NSM
.,ZE
,
Hierdie,PA
week,NSE
het,VUOT
ons,PEMP
32,RS
687,RS
onregmatige,ASA
maatskapliketoelaagbetalings,NSM
opgeskort,VVHOG
",",ZM
ter,SVS
waarde,NSE
van,SVS
R180,RS
miljoen,THPB
.,ZE
,
Ons,PEMB
Inter-Ministeri‰le,ASA
Komitee,NSE
op,SVS
Korrupsie,NA
ondersoek,VTHOG
maniere,NSM
om,SVS
korrupsie,NA
doelgerig,BS
die,LB
nek,NSE
in,UPW
te,UPI
slaan,VTHOG
.,ZE
,
Deur,SVS
saam,UPW
te,UPI
werk,VTHOO
kan,VTUOM
ons,PEMP
meer,THBO
doen,VTHOG
.,ZE
,
Landsgenote,NSM
",",ZM
,
Soos,UPV
u,PTENP
weet,VTHOO
",",ZM
het,VUOT
ons,PEMP
die,LB
Presidensi‰le,ASA
Klagtelyn,NSE
ingestel,VVHOG
om,SVS
die,LB
regering,NSE
en,KN
die,LB
Presidensie,NSE
meer,THBO
toeganklik,BS
vir,SVS
die,LB
publiek,NM
te,UPI
maak,VTHOG
en,KN
om,SVS
te,UPI
help,VTUOA
om,SVS
blokkasies,NSM
in,SVS
dienslewering,NA
uit,SVS
die,LB
weg,NSE
te,UPI
ruim,VTHOO
.,ZE
,
Die,LB
klagtelyn,NSE
verteenwoordig,VTHOG
ons,PEMB
vasberadenheid,NA
om,SVS
dinge,NSM
anders,BS
in,SVS
die,LB
regering,NSE
te,UPI
doen,VTHOG
.,ZE
,
Dit,PDOENP
het,VUOT
'n,LO
verskil,NSE
aan,SVS
baie,THAO
Suid-Afrikaners,NSM
se,UPS
lewens,NSM
gemaak,VVHOG
.,ZE
,
Ons,PEMP
kan,VTUOM
mev,RA
Buziwe,NEE
Ngaleka,NEE
van,SVS
Mount,NEE
Frere,NEE
hier,BS
noem,VTHOG
",",ZM
wie,PB
se,UPS
oproep,NSE
oor,SVS
haar,PDVEB
oorlede,ASA
man,NSE
se,UPS
pensioen,NSE
die,LB
eerste,TRAB
oproep,NSE
was,VVHOK
wat,PB
ons,PEMP
op,SVS
die,LB
eerste,TRAB
dag,NSE
van,SVS
die,LB
klagtelyn,NSE
geneem,VVHOG
het,VUOT
.,ZE
,
Sy,PDVENP
is,VTHOK
vanaand,BS
hier,BS
saam,BS
met,SVS
ons,PEMP
.,ZE
,
Ons,PEMP
het,VTHOG
ook,BS
mnr,RA
Nkululeko,NEE
Cele,NEE
hier,BS
by,SVS
ons,PEMP
",",ZM
wat,PB
bygestaan,VVHOG
is,VVUOP
om,SVS
sy,PDHEB
identieitsdokument,NSE
te,UPI
kry,VTHOG
sodat,KO
hy,PDHENP
by,SVS
die,LB
Tshwane,NEE
Universiteit,NSE
van,SVS
Tegnologie,NA
kon,VVUOM
inskryf,VTHSO
.,ZE
,
Dit,PDOENP
is,VTHOK
net,BS
twee,THNB
van,UPD
die,LB
talle,THAO
suksesstories,NSM
.,ZE
,
Uit,SVS
hierdie,PA
en,KN
ander,ASA
voorbeelde,NSM
het,VUOT
ons,PEMP
swakhede,NSM
ge‹dentifiseer,VVHOG
wat,PB
deur,SVS
die,LB
onderskeie,ASA
regeringsfere,NSM
reggestel,VVHOG
moet,VTUOM
word,VTUOP
.,ZE
,
Deur,SVS
die,LB
Speaker,NSE
het,VUOT
ons,PEMP
'n,LO
veelparty-afvaardiging,NSE
van,SVS
die,LB
Parlement,NSE
uitgenooi,VVHOG
om,SVS
die,LB
oproepsentrum,NSE
te,UPI
besoek,VTHOG
",",ZM
sodat,KO
LP's,NSM
eerstehandse,ASA
ervaring,NA
kan,VTUOM
kry,VTHOG
van,SVS
die,LB
werk,NA
wat,PB
gedoen,VVHOG
word,VTUOP
.,ZE
,
Landsgenote,NSM
en,KN
vriende,NSM
",",ZM
,
Ek,PEENP
het,VUOT
'n,LO
uiteensetting,NSE
gegee,VVHOG
van,SVS
die,LB
hoofelemente,NSM
van,SVS
ons,PEMB
planne,NSM
vir,SVS
2010,RS
",",ZM
ons,PEMB
kollektiewe,ASA
verbintenis,NSE
as,KO
regering,NSE
teenoor,SVS
die,LB
mense,NSM
van,SVS
Suid-Afrika,NEE
.,ZE
,
Die,LB
Staatsrede,NSE
bied,VTHOG
'n,LO
bre‰,ASA
oorsig,NSE
oor,SVS
ons,PEMB
aksieplan,NSE
.,ZE
,
Ministers,NSM
sal,VTUOM
die,LB
details,NSM
in,SVS
hul,PDMB
onderskeie,ASA
begrotingsredes,NSM
verskaf,VTHOG
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
mede-Suid-Afrikaners,NSM
",",ZM
,
In,SVS
November,NEE
vanjaar,BS
vier,VTHOG
ons,PEMP
die,LB
150ste,RS
herdenking,NSE
van,SVS
die,LB
aankoms,NSE
van,SVS
die,LB
Indi‰rs,NSM
in,SVS
Suid-Afrika,NEE
.,ZE
,
Dit,PDOENP
bied,VTHOG
'n,LO
geleentheid,NSE
om,SVS
erkenning,NA
te,UPI
gee,VTHOG
aan,SVS
die,LB
belangrike,ASA
bydrae,NSE
van,SVS
die,LB
Indiese,ASA
gemeenskap,NSE
op,SVS
die,LB
gebied,NSE
van,SVS
arbeid,NA
",",ZM
die,LB
sakesektor,NSE
",",ZM
wetenskap,NA
",",ZM
sport,NM
",",ZM
godsdiens,NSE
",",ZM
kuns,NA
en,KN
die,LB
bereiking,NA
en,KN
konsolidasie,NA
van,SVS
ons,PEMB
demokrasie,NSE
.,ZE
,
Landsgenote,NSM
en,KN
